image_name| comment_number| comment
3126795109.jpg| 2| A Miami basketball player with basketball in right hand on court .
3126795109.jpg| 3| A basketball player holding a ball with Miami 5 on his shirt .
3126795109.jpg| 4| A guy playing basketball .
3127614086.jpg| 0| The basketball player wearing the white outfit and orange sneakers is doing a lay up .
3127614086.jpg| 1| The basketball player wearing the white outfit and orange sneakers is doing a lay up .
3127614086.jpg| 2| a basketball player attempts to get the basketball from another player .
3127614086.jpg| 3| Two men are playing basketball
3127614086.jpg| 4| Fast paced basketball action
3127629248.jpg| 0| The man in the white jersey is trying to score and his opponent is trying to catch the ball .
3127629248.jpg| 1| The basketball player in white is jumping up to score a point against the orange team .
3127629248.jpg| 2| Miami and Clemson playing a basketball game
3127629248.jpg| 3| A basketball player is about to make a lay-up .
3127629248.jpg| 4| Four basketball players
3147217787.jpg| 0| Player number 23 dunks the basketball into the net with a crowd in the background .
3147217787.jpg| 1| A black man is dunking a basketball while another man jostles him on the court .
3147217787.jpg| 2| A man with jersey 23 is dunking the ball at a basketball game .
3147217787.jpg| 3| A man in a white jersey is slam dunking a basketball .
3147217787.jpg| 4| A person in uniform dunking a basketball .
3147913471.jpg| 0| The basketball player is holding a basketball getting ready to take a shot .
3147913471.jpg| 1| The Florida basketball player is preparing to shoot the ball .
3147913471.jpg| 2| A basketball player is looking up and set to throw the ball .
3147913471.jpg| 3| Florida men 's basketball player
3147913471.jpg| 4| a basketball player gets ready for the shot .
3148811252.jpg| 0| The basketball player in white is holding an orange basketball .
3148811252.jpg| 1| There is a Florida college player dribbling the ball .
3148811252.jpg| 2| The basketball player is wearing a Florida jersey .
3148811252.jpg| 3| A basketball player holds the ball during a game .
3148811252.jpg| 4| Man with a basketball in a Florida uniform .
3154641421.jpg| 0| Basketball player with 32 on jersey jumps to make a shot
3154641421.jpg| 1| A black man playing basketball with orange shoes
3154641421.jpg| 2| A basketball player preparing to shoot the ball
3154641421.jpg| 3| A basketball player takes a shot .
3154641421.jpg| 4| Miami basketball player shooting
3154693053.jpg| 0| The basketball player in the white strip is dribbling the ball on the court .
3154693053.jpg| 1| A Miami Hurricanes basketball player has possession of the ball .
3154693053.jpg| 2| A Miami basketball player dribbles the ball and looks serious .
3154693053.jpg| 3| a basketball player dribbles the ball .
3154693053.jpg| 4| Miami basketball player number 33 dribbles the ball .
3154709407.jpg| 0| A bald man dribbles a basketball while wearing a Miami jersey .
3154709407.jpg| 1| The number five Miami player dribbles down the court .
3154709407.jpg| 2| The basketball player is wearing orange sneakers .
3154709407.jpg| 3| Man playing basketball
3154709407.jpg| 4| Number five plays basketball for Miami .
3155451946.jpg| 0| Several basketball players are grabbing for the ball during a game .
3155451946.jpg| 1| The basketball player in white holds the ball .
3155451946.jpg| 2| Three basketball players leap to grab a ball .
3155451946.jpg| 3| three men are playing a game of basketball
3155451946.jpg| 4| Three men are playing basketball .
3174228611.jpg| 0| a basketball player wearing a red and white jersey while running down the court .
3174228611.jpg| 1| A dark-skinned man in a white sports outfit plays basketball .
3174228611.jpg| 2| A man dribbles a ball during a basketball game .
3174228611.jpg| 3| The SMU basketball player drives to the basket .
3174228611.jpg| 4| An SMU basketball player playing basketball .
3178300150.jpg| 0| A basketball player leaps with the ball while opponents try to block him .
3178300150.jpg| 1| A pro basketball player in a white Miami uniform makes a defensive move .
3178300150.jpg| 2| Basketball players try to block a ball from going into the goal .
3178300150.jpg| 3| Man in a Miami basketball uniform jumping to make a shot .
3178300150.jpg| 4| The basketball player is number 21 from Miami .
3182558164.jpg| 0| Basketball player from Eastern goes between two defenders for a shot .
3182558164.jpg| 1| A basketball player jumps up with the ball as two others watch .
3182558164.jpg| 2| A basketball player in the air about to make a shot .
3182558164.jpg| 3| A school basketball game is in progress .
3182558164.jpg| 4| Men playing a basketball game .
3217620013.jpg| 0| A basketball player in a red uniform is holding the ball while a player in a white uniform is trying to block him .
3217620013.jpg| 1| A man in a red uniform is playing backset ball with a man in a white uniform blocking his shot .
3217620013.jpg| 2| two basketball teams playing a game on the court .
3217620013.jpg| 3| A basketball player with a ball and defenders .
3217620013.jpg| 4| The rival teams are playing basketball .
3218480482.jpg| 0| A basketball player in a white outfit is dribbling the ball around a player in a red outfit as the referee looks on .
3218480482.jpg| 1| A basketball player dribbles the ball while another blocks him and an official looks on .
3218480482.jpg| 2| The guard drives towards the basket during a college basketball game .
3218480482.jpg| 3| A Miami basketball player dribbles by an Arizona State player .
3218480482.jpg| 4| A referee watches two basketball players playing basketball .
3218481970.jpg| 0| A basketball player is jumping and holding a basketball over the net .
3218481970.jpg| 1| The basketball player is dropping the basketball into the net .
3218481970.jpg| 2| A basketball player in white leaps up at the net .
3218481970.jpg| 3| A man jumps with a basketball to make a hoop .
3218481970.jpg| 4| A basketball player slam dunks the ball .
3222055946.jpg| 0| The basketball player in white is dribbling the ball towards the player in black .
3222055946.jpg| 1| The basketball player in white is dribbling the ball towards the player in black .
3222055946.jpg| 2| A basketball player wearing a black and white uniform dribbles the ball .
3222055946.jpg| 3| Woman in white dribbling basketball .
3222055946.jpg| 4| Basketball players in action .
3245250964.jpg| 0| Man in blue and white uniform shooting basketball being blocked by man in white and red .
3245250964.jpg| 1| Man in blue and white uniform shooting basketball being blocked by man in white and red .
3245250964.jpg| 2| A basketball player jumps for a shot while another attempts to block him .
3245250964.jpg| 3| Two men are playing basketball and one is trying to block the other .
3245250964.jpg| 4| Two basketball players oppose each other at the net .
3259666643.jpg| 0| A man in a white uniform jumps while holding a basketball as another in blue blocks him .
3259666643.jpg| 1| A boy in a blue basketball uniform
3259666643.jpg| 2| A man in a white uniform jumps while holding a basketball as another in blue blocks him .
3259666643.jpg| 3| The man in white is playing basketball against the man in blue .
3259666643.jpg| 4| A basketball player performing a lay-up .
3261666285.jpg| 0| A basketball player in white is trying to defend against the player in black who is dribbling the ball .
3261666285.jpg| 1| An african american runs with a basketball as a caucasion tries to take the ball from him .
3261666285.jpg| 2| White player attempts to get ball from black player on basketball court .
3261666285.jpg| 3| Two teams are playing basketball as one man is driving towards the hoop .
3261666285.jpg| 4| Guy in black uniform dribbling basketball away from guy in white uniform
32627994.jpg| 0| A group of children sitting down and holding basketballs on their laps .
32627994.jpg| 1| Several kids are sitting down and holding basketballs
32627994.jpg| 2| A large group of young children with basketballs .
32627994.jpg| 3| group of little kids waiting for the game to start
32627994.jpg| 4| Young children holding basketballs .
32628083.jpg| 0| A group of Hispanic children are gathered outside holding basketballs
32628083.jpg| 1| Young Asian students smile and present their new basketballs .
32628083.jpg| 2| Kids are standing and holding basketballs .
32628083.jpg| 3| Young children hold Spalding basketballs .
32628083.jpg| 4| Three young children holding basketballs .
3272847211.jpg| 0| A young man in a white uniform holds a basketball surrounded by members of the opposing team wearing green .
3272847211.jpg| 1| A basketball player tries to aim for the goal while being blocked by other players .
3272847211.jpg| 2| a group of basketball players trying to get the ball from another player .
3272847211.jpg| 3| A group of high school basketball players play a game .
3272847211.jpg| 4| A basketball player with several blockers .
3285180819.jpg| 0| A basketball player in blue is attempting to block a player in white during a game .
3285180819.jpg| 1| Two men from opposite teams play basketball together .
3285180819.jpg| 2| Two black men playing basketball in a gym .
3285180819.jpg| 3| Two basketball players play in a game .
3285180819.jpg| 4| The men are playing basketball .
3285214689.jpg| 0| Man in blue sport uniform with basketball in right hand attempting to score basket while being blocked by player in white uniform .
3285214689.jpg| 1| The basketball player in white is defending the basket against the player wearing blue .
3285214689.jpg| 2| A basketball player jumps to make the shot while another tries to stop him .
3285214689.jpg| 3| Two men are playing basketball and one is trying to block the others shot .
3285214689.jpg| 4| Two basketball players oppose each other at the net .
3285298241.jpg| 0| A man wearing a blue basketball jersey is shooting the basketball .
3285298241.jpg| 1| A basketball player in a blue jersey holds the ball high .
3285298241.jpg| 2| A basketball player is getting ready to shoot a hoop
3285298241.jpg| 3| A man in blue uniform about to throw a basketball .
3285298241.jpg| 4| A young man shooting hoops .
3286045254.jpg| 0| The man in blue has the basketball while the man on the left watches and the man on the right tries to stop him .
3286045254.jpg| 1| A basketball player concentrating on keeping the ball from other players .
3286045254.jpg| 2| The basketball player in blue is running between two players in white .
3286045254.jpg| 3| A basketball player holding a basketball .
3286045254.jpg| 4| Two basketball teams compete .
3286111436.jpg| 0| A basketball player for North Carolina moves with the ball in hand .
3286111436.jpg| 1| A North Carolina basketball player dribbles the ball .
3286111436.jpg| 2| A man in a blue jersey plays basketball .
3286111436.jpg| 3| The basketball player holds the ball .
3286111436.jpg| 4| a basketball player dribbles .
3289893683.jpg| 0| The basketball player in red is challenging the player in white for the ball .
3289893683.jpg| 1| Two males
3289893683.jpg| 2| The teenagers are fighting over a basketball during a game .
3289893683.jpg| 3| Two basketball players fighting over control of a ball .
3289893683.jpg| 4| Two basketball players struggle for the ball .
3303797949.jpg| 0| A boy wearing a shirt with an American flag plays with a basketball on the blacktop .
3303797949.jpg| 1| Boy with american flag shirt bounces basketball .
3303797949.jpg| 2| The boy dribbles the ball in the playground .
3303797949.jpg| 3| A young boy playing basketball .
3303797949.jpg| 4| A boy with a basketball .
3305895920.jpg| 0| Three basketball players in white are defending against the attacking player with the ball in orange .
3305895920.jpg| 1| A basketball player in orange has the ball while three others in blue and white defend .
3305895920.jpg| 2| Basketball player in orange trying to score through three men from the opposing team .
3305895920.jpg| 3| A basketball player from one team making a rebound while three players oppose him .
3305895920.jpg| 4| Four men are playing in a basketball game .
3323514651.jpg| 0| one boy wearing a black jersey holding a basketball while another is behind him trying to get the ball
3323514651.jpg| 1| A basketball player in black jumps
3323514651.jpg| 2| Two male basketball players are fighting over a basketball .
3323514651.jpg| 3| Two young men play basketball while crowd looks on
3323514651.jpg| 4| Two basketball players fighting over the ball .
3325157569.jpg| 0| A basketball player in white jumping to throw the ball
3325157569.jpg| 1| A basketball player has jumped in the air to shoot the basketball .
3325157569.jpg| 2| A college basketball player shooting a jump shot .
3325157569.jpg| 3| A basketball player gets ready to shoot .
3325157569.jpg| 4| A basketball player aims for the goal .
3343106500.jpg| 0| Referee blows whistle as basketball player attempts to block another with the ball .
3343106500.jpg| 1| The guy in the white uniform has a basketball in his hand .
3343106500.jpg| 2| A basketball player runs while another tries to block him .
3343106500.jpg| 3| A basketball player runs while dribbling the ball .
3343106500.jpg| 4| A basketball player for Miami U. pushes forward .
3343116398.jpg| 0| A basketball player wearing a white uniform is dribbling the ball on the court .
3343116398.jpg| 1| A professional basketball player dribbles the ball around the opposing player .
3343116398.jpg| 2| A man wearing a white uniform dribbles the basketball during a game .
3343116398.jpg| 3| A basketball player dribbles the ball during a game .
3343116398.jpg| 4| Basketball player pushes away opponent
3343900764.jpg| 0| A basketball player in a red uniform is trying to make a basket but is being blocked by the opposing team .
3343900764.jpg| 1| A basketball player attempting to control the ball near the basket rim .
3343900764.jpg| 2| Two men jump up for the ball near the hoop in a basketball game .
3343900764.jpg| 3| two teams playing basketball on a court in a stadium .
3343900764.jpg| 4| A basketball player is scoring a basket .
3346040664.jpg| 0| One basketball player in a white uniform jumps up to block another player in a blue uniform with the ball .
3346040664.jpg| 1| The opposing basketball players are making a play with an audience nearby .
3346040664.jpg| 2| The boy in blue has the ball
3346040664.jpg| 3| A boy playing basketball
3346040664.jpg| 4| The boys play basketball .
3368569524.jpg| 0| A girl playing basketball attempts a shot while another girl aggresively defends her .
3368569524.jpg| 1| The female basket player in red is challenging the player in white for the ball .
3368569524.jpg| 2| The opposing basketball player is making a hook shot over the defender .
3368569524.jpg| 3| Girls participating in a basketball game in front of a crowd .
3368569524.jpg| 4| A girl defends the basketball from another player .
3395052059.jpg| 0| A male basketball player wearing a black uniform is trying to block a male basketball player wearing a white uniform .
3395052059.jpg| 1| I see two guys playing basket one with a white tee and the other with a black .
3395052059.jpg| 2| The player in the white is dribbling the basketball .
3395052059.jpg| 3| A basketball player driving to the hoop .
3395052059.jpg| 4| A basketball player drives to the hoop .
3395052193.jpg| 0| A basketball player is hanging onto the rim while the ball is in the basket
3395052193.jpg| 1| A male basketball player is holding onto the rim of a basketball goal .
3395052193.jpg| 2| A male basketball player puts a basketball through the net to score .
3395052193.jpg| 3| A basketball player scores with a slam dunk .
3395052193.jpg| 4| A basketball player slam dunks a ball .
3395865192.jpg| 0| Opposing basketball players dive for control of the ball as the referee blows his whistle .
3395865192.jpg| 1| Two players reaching for a basketball as three other players and a referee look on .
3395865192.jpg| 2| Two determined basketball players from opposing teams diving for a loose ball .
3395865192.jpg| 3| Opposing team basketball players trying to get the ball first .
3395865192.jpg| 4| Two basketball players on opposing teams longing for the ball .
3395865342.jpg| 0| A basketball player wearing a green and yellow trimmed white uniform
3395865342.jpg| 1| An athletic basketball player is coming down from dunking the ball .
3395865342.jpg| 2| A male basketball player throwing a basketball into the hoop .
3395865342.jpg| 3| A basketball player is jumping toward the basketball goal .
3395865342.jpg| 4| An African American basketball player making a slam dunk .
3403263046.jpg| 0| A female basketball player wearing a red uniform is holding a basketball and looking up while an arm is trying to block her .
3403263046.jpg| 1| A woman basketball player holding the ball grimaces with effort while another player 's arm attempts to block her .
3403263046.jpg| 2| A female woman has a basketball in her hands and a determined look on her face .
3403263046.jpg| 3| A woman with a red basketball jersey is holding a basketball and looking up .
3403263046.jpg| 4| A basketball player looks upward as a hand reaches for her ball .
3426452139.jpg| 0| Several men are playing basketball at a park at night .
3426452139.jpg| 1| a couple of men playing street ball .
3426452139.jpg| 2| A group of males playing basketball .
3426452139.jpg| 3| Six men play basketball at night .
3426452139.jpg| 4| Group of boys playing basketball .
3439382048.jpg| 0| A bald man is attempting to slam dunk a basketball in a game while people in the stands watch .
3439382048.jpg| 1| A basketball player is jumping and about to dunk a ball in front of a crowd .
3439382048.jpg| 2| A man reaches toward dunking a basketball while an audience watches .
3439382048.jpg| 3| The tattooed basketball player is about to dunk the ball .
3439382048.jpg| 4| A tattooed man dunks a basketball .
3558683579.jpg| 0| Three men are playing basketball and one of them blocked the others shot while people play in the back .
3558683579.jpg| 1| Four men playing basketball on a court with various people in the background .
3558683579.jpg| 2| The man drives the lane for a shot in the outdoor basketball game .
3558683579.jpg| 3| The three men are playing basketball on a blacktop .
3558683579.jpg| 4| A guy jumps to make a basketball shot .
3584561689.jpg| 0| Basketball player makes a shot as other players to try to intercept .
3584561689.jpg| 1| Some teenagers are scrambling for a basketball underneath the net .
3584561689.jpg| 2| These people are playing basketball outdoors .
3584561689.jpg| 3| two men playing basketball under a blue sky
3584561689.jpg| 4| A group of boys play basketball together .
3597210806.jpg| 0| A boy jumps up to make a basket in a basketball hoop .
3597210806.jpg| 1| A boy dunks a basketball on a low hoop by the road .
3597210806.jpg| 2| The teenage boy is dunking a basketball in a hoop .
3597210806.jpg| 3| A boy with a basketball
3597210806.jpg| 4| A boy dunks a basketball .
3609233201.jpg| 0| A young blond boy with sneakers throws a basketball on a basketball court .
3609233201.jpg| 1| A child
3609233201.jpg| 2| A boy in mid jump after releasing the basketball towards the hoop .
3609233201.jpg| 3| A little boy shooting a basketball on a basketball court .
3609233201.jpg| 4| A young boy throws a basketball on a basketball court .
3943391155.jpg| 0| The young female basketball player is preparing to pass the ball up the court .
3943391155.jpg| 1| The young female basketball player is preparing to pass the ball up the court .
3943391155.jpg| 2| Three girls in red and white uniforms playing basketball .
3943391155.jpg| 3| Girl in a white and red jersey holding a basketball .
3943391155.jpg| 4| The young girl is playing basketball .
3944169186.jpg| 0| A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon .
3944169186.jpg| 1| Two young girls playing basketball
3944169186.jpg| 2| Two girls playing basketball in red and white uniforms .
3944169186.jpg| 3| Two young girls are playing basketball in a gymnasium .
3944169186.jpg| 4| Two girls playing basketball .
4107474314.jpg| 0| Five young basketball players attempt to take possession of the basketball after tip-off .
4107474314.jpg| 1| Five boys competing in a sport are wearing orange or blue are looking up with arms outstretched .
4107474314.jpg| 2| Five young basketball players attempt to take possession of the basketball after tip-off .
4107474314.jpg| 3| Several small children are playing basketball .
4107474314.jpg| 4| Young boys plays sports together .
4121365461.jpg| 0| A young brunette male in a striped blue shirt and denim jeans
4121365461.jpg| 1| A man in jeans and a blue striped shirt on a court
4121365461.jpg| 2| A young man is holding his  follow through  pose after shooting a basketball .
4121365461.jpg| 3| A man in a long-sleeve shirt and jeans plays basketball .
4121365461.jpg| 4| A man in a gray shirt has his arms raised .
4235671794.jpg| 0| A basketball is up in the air above players on two teams
4235671794.jpg| 1| A basketball game where many of them are gathered around the hoop and two have fallen to the ground on the right .
4235671794.jpg| 2| Several men are watching a basketball moving toward the basket deciding if they should rebound the ball .
4235671794.jpg| 3| A college basketball game being played in the Big Ten Conference .
4235671794.jpg| 4| Basketball players waiting for a rebound .
4319855412.jpg| 0| Basketball players warming up on the court in a nearly empty arena .
4319855412.jpg| 1| Sports team members practice and relax on a basketball court .
4319855412.jpg| 2| Fans watching a basketball game indoors at a stadium .
4319855412.jpg| 3| A shoot around at a women 's college basketball game .
4319855412.jpg| 4| The basketball teams are getting ready for a game .
4319908902.jpg| 0| A women 's basketball game being played on an indoor court .
4319908902.jpg| 1| Two female basketball teams are practicing before a game .
4319908902.jpg| 2| The shoot around before a women 's basketball game .
4319908902.jpg| 3| Female basketball players warming up before a game .
4319908902.jpg| 4| An arena where a basketball game is taking place .
4328470369.jpg| 0| Four children are standing around in a dimly lit gym with a basketball hoop behind them
4328470369.jpg| 1| In a school gymnasium
4328470369.jpg| 2| Young girls are standing on a basketball court .
4328470369.jpg| 3| Four kids playing basketball in a gym .
4328470369.jpg| 4| Several children inside a gym .
4473229124.jpg| 0| Three girls are walking along the sidewalk together and the one in the middle is bouncing a basketball .
4473229124.jpg| 1| Three girls walking down the street while the one in the middle bounces a black basketball .
4473229124.jpg| 2| Three teenage girls walking down the sidewalk together on a nice day
4473229124.jpg| 3| Three teenagers outside walking down the street .
4473229124.jpg| 4| African american woman bouncing black basketball
4663514463.jpg| 0|  Two guys are trying to catch a basketball ; one guy has a Celtics jersey on and the other guy has a red jersey and a black hat .
4663514463.jpg| 1| Two guys are trying to catch a basketball ; one guy has a Celtics jersey on and the other guy has a red jersey and a black hat .
4663514463.jpg| 2| Two young males playing basketball on a basketball court .
4663514463.jpg| 3| Two people are playing basketball on a city court .
4663514463.jpg| 4| Two kids playing basketball .
4750040931.jpg| 0| A guy and girl in the distance looking up at a shot taken on the basketball court as they play .
4750040931.jpg| 1| Two young people in shorts and t-shirts play basketball in an urban outdoor court .
4750040931.jpg| 2| Two people playing on a basketball court in the city .
4750040931.jpg| 3| A basketball course among the buildings .
4750040931.jpg| 4| two people playing basketball .
4758481555.jpg| 0| A basketball player in a white jersey with the word price on it
4758481555.jpg| 1| there are 6 young men playing basketball in blue and white uniforms
4758481555.jpg| 2| The basketball player in the center is holding the ball and is defending it from the other team .
4758481555.jpg| 3| A basketball player is protecting the basketball with many other players nearby .
4758481555.jpg| 4| A group of high school boys playing a game of basketball inside a gymnasium .
4878621384.jpg| 0|  Four young adults are simultaneously in the air imitating basketball shots with balloons .
4878621384.jpg| 1| Four young adults are simultaneously in the air imitating basketball shots with balloons .
4878621384.jpg| 2| Four people are jumping in the air with various colored balls .
4878621384.jpg| 3| Four teens jump with balls on a basketball court .
4878621384.jpg| 4| Jumping with purple balls is so much fun !
5149869859.jpg| 0| Young athletes in either blue or white and black uniforms battle on the basketball court .
5149869859.jpg| 1| Elementary school child passing basketball in team basketball game .
5149869859.jpg| 2| Young athlete in blue shows star potential during a close game .
5149869859.jpg| 3| Young Team of Basketball players winning the game .
